t;water_root_shoot_xylem;AA_root_shoot_phloem;soil_temperature
472;9.00621594766736E-06;1.08869533933405E-06;8.08660352
473;7.11812175520097E-06;8.60409274747051E-07;8.08728312
474;4.70951886319475E-06;5.69235323874004E-07;8.08796528
475;1.50341960726556E-07;1.81706770548468E-08;8.08865
476;1.50435487471068E-07;1.81809579844027E-08;8.08933728
477;1.50529072397933E-07;1.81912433642421E-08;8.09002712
478;1.50622715543429E-07;1.82015331934439E-08;8.09071952
479;1.50716416943592E-07;1.82118274710467E-08;8.09141448
480;1.50810176634884E-07;1.82221261961316E-08;8.092112
481;0.0000001509039946534;1.82324293677233E-08;8.09281208
482;1.50997871035512E-07;1.8242736984871E-08;8.09351472
483;1.51091805817497E-07;1.82530490466014E-08;8.09421992
484;1.51185799035696E-07;1.82633655519385E-08;8.09492768
485;1.5127985072648E-07;1.82736864998993E-08;8.095638
486;1.51373960926158E-07;1.82840118894832E-08;8.09635088
487;2.77663396188596E-06;3.35362235207694E-07;8.09706632
488;5.57110070058993E-06;6.72839847896447E-07;8.09778432
489;7.84603089690169E-06;9.47536279380178E-07;8.09850488
490;9.60045170630806E-06;1.15934476493983E-06;8.099228
491;0.0000108333890725793;0.0000013081584479829;8.09995368
492;0.0000115438677264459;1.39387038007023E-06;8.10068192
493;0.0000117309111844087;1.41637352096018E-06;8.10141272
494;0.0000113935417474291;1.37556073863821E-06;8.10214608
495;0.0000105307804997023;1.27132480935746E-06;8.102882
496;9.14164730736775E-06;1.10355841767203E-06;8.10362048
497;0.000007225160817267;8.72154156476774E-07;8.10436152
498;4.78033845567061E-06;5.77004527043731E-07;8.10510512
499;1.52602734427703E-07;1.84186456763948E-08;8.10585128
500;1.52697667584581E-07;1.84290331401524E-08;8.1066
501;1.52792659798874E-07;1.8439425029721E-08;8.10735128
502;1.52887711107135E-07;1.84498213439584E-08;8.10810512
503;1.52982821546224E-07;1.84602220817489E-08;8.10886152
504;1.53077991152817E-07;1.84706272419441E-08;8.10962048
505;1.53173219963865E-07;1.84810368234182E-08;8.110382
506;1.53268508016104E-07;1.84914508250084E-08;8.11114608
507;1.53363855346424E-07;1.85018692455591E-08;8.11191272
508;1.53459261991685E-07;1.85122920839005E-08;8.11268192
509;1.53554727988746E-07;1.85227193388516E-08;8.11345368
510;1.5365025337468E-07;1.8533151009247E-08;8.114228
511;2.81838771451976E-06;3.39931270108163E-07;8.11500488
512;5.65487636700544E-06;6.82005467329493E-07;8.11578432
513;7.96401592399375E-06;9.60442101322881E-07;8.11656632
514;9.74481891179318E-06;1.17513330740135E-06;8.11735088
515;0.0000109962966267336;1.32597112954716E-06;8.118138
516;0.0000117174591339196;1.41284752045718E-06;8.11892768
517;0.0000119073152659292;1.43565434158221E-06;8.11971992
518;0.0000115648726215279;1.39428336316847E-06;8.12051472
519;0.0000106891375644268;1.28862626430569E-06;8.12131208
520;9.27911522196437E-06;1.11857463296555E-06;8.122112
521;7.33380948383365E-06;8.84019966047081E-07;8.12291448
522;4.85222300081477E-06;5.84853669422817E-07;8.12371952
523;1.54897504610585E-07;1.86691639747128E-08;8.12452712
524;1.54993865328936E-07;1.86796573321626E-08;8.12533728
525;1.55090285992682E-07;1.86901550862877E-08;8.12615
526;1.55186766639108E-07;1.87006572357697E-08;8.12696528
527;1.55283307305441E-07;1.87111637792703E-08;8.12778312
528;1.55379908029151E-07;1.87216747154721E-08;8.12860352
529;1.55476568847524E-07;1.8732190043021E-08;8.12942648
530;0.000000155573289798;1.87427097605728E-08;8.130252
531;1.55670070917804E-07;1.87532338667428E-08;8.13108008
532;1.55766912244682E-07;1.87637623602019E-08;8.13191072
533;1.55863813815797E-07;1.8774295239535E-08;8.13274392
534;1.55960775668772E-07;1.8784832503374E-08;8.13357968
535;2.86076934100412E-06;3.44546897789056E-07;8.134418
536;5.73991181360826E-06;6.91264487828321E-07;8.13525888
537;8.08377515600923E-06;9.73479346096339E-07;8.13610232
538;9.89135704533287E-06;1.19108251498008E-06;8.13694832
539;0.0000111616539102437;1.34396494618337E-06;8.13779688
540;0.0000118936609296539;1.43201750077621E-06;8.138648
541;0.0000120863720314061;1.45513094924135E-06;8.13950168
542;0.0000117387798910171;1.41319597152935E-06;8.14035792
543;0.0000108498759303276;1.30610315710218E-06;8.14121672
544;9.41865031623798E-06;1.13374300498839E-06;8.14207808
545;7.44409195939575E-06;8.9600592383285E-07;8.142942
546;4.92518851289997E-06;5.92782231949084E-07;8.14380848
547;1.57226782498774E-07;1.89222152760884E-08;8.14467752
548;1.57324592245574E-07;1.89328137724413E-08;8.14554912
549;1.57422462839215E-07;1.89434166314464E-08;8.14642328
550;1.57520394317534E-07;1.8954023851573E-08;8.1473
551;1.57618386718305E-07;1.89646354312717E-08;8.14817928
552;1.57716440079487E-07;1.89752513690034E-08;8.14906112
