t;cytokinins_root_shoot_xylem;AA_root_shoot_phloem;water_root_shoot_xylem
1908;0.01604348;0.00000071240433;0.00000014693
1909;0.01559064;0.0000005860304;0.0000001418
1910;0.0185921;0.00000051376142;0.00000016793
1911;0.02142154;0.00000046019818;0.00000019218
1912;0.02391093;0.00000042347212;0.00000021308
1913;0.02408918;0.00000040269382;0.00000021325
1914;0.01490092;0.00000039313266;0.00000013103
1915;0.01762472;0.00000041165945;0.00000015386
1916;0.06400456;0.00000074652277;0.0000005547
1917;0.11772946;0.00000129040615;0.00000101532
1918;0.20818646;0.0000020479309;0.00000179151
1919;0.2692655;0.00000282250216;0.00000232277
1920;0.4983148;0.00000386975052;0.00000432283
1921;0.57740506;0.00000471479712;0.00000509882
1922;0.67085357;0.00000546473726;0.00000605869
1923;0.42581221;0.00000495050915;0.00000395629
1924;0.12946889;0.00000440103669;0.00000122155
1925;0.19478687;0.00000392736608;0.00000183543
1926;0.05717519;0.0000029848356;0.00000054004
1927;0.03824805;0.00000199479486;0.00000035933
1928;0.04851062;0.00000133871985;0.00000045282
1929;0.04447652;0.00000093675654;0.00000041274
1930;0.05185521;0.00000069594149;0.00000047829
1931;0.04382232;0.0000005408523;0.00000040189
1932;0.03362561;0.00000045335311;0.00000030647
